root,level,subject,board,year,page_type,the_rest
www.savemyexams.com,igcse,physics,cie,23,revision-notes,1-motion-forces--energy/1-2-motion/1-2-2-acceleration
www.savemyexams.com,igcse,physics,cie,23,revision-notes,1-motion-forces--energy/1-3-mass-weight--density/1-3-4-floating
www.savemyexams.com,igcse,physics,cie,23,revision-notes,1-motion-forces--energy/1-5-1-moments/1-5-1-moments
www.savemyexams.com,igcse,physics,cie,23,revision-notes,1-motion-forces--energy/1-7-energy-work--power/1-7-3-gravitational-potential-energy
www.savemyexams.com,igcse,physics,cie,23,revision-notes,1-motion-forces--energy/1-9-pressure/1-9-1-pressure--forces
www.savemyexams.com,igcse,physics,cie,23,revision-notes,2-thermal-physics/2-2-thermal-properties--temperature/2-2-2-specific-heat-capacity
www.savemyexams.com,igcse,physics,cie,23,revision-notes,2-thermal-physics/2-3-transfer-of-thermal-energy/2-3-5-the-greenhouse-effect
www.savemyexams.com,igcse,physics,cie,23,revision-notes,3-waves/3-2-light/3-2-1-reflection-of-light
www.savemyexams.com,igcse,physics,cie,23,revision-notes,3-waves/3-2-light/3-2-9-dispersion-of-light
www.savemyexams.com,igcse,physics,cie,23,revision-notes,3-waves/3-4-sound/3-4-3-effects-of-sound-waves
www.savemyexams.com,igcse,physics,cie,23,revision-notes,4-electricity--magnetism/4-2-electrical-quantities/4-2-3-electric-fields
www.savemyexams.com,igcse,physics,cie,23,revision-notes,4-electricity--magnetism/4-3-electric-circuits--electrical-safety/4-3-1-circuit-diagrams--circuit-components
www.savemyexams.com,igcse,physics,cie,23,revision-notes,4-electricity--magnetism/4-4-electromagnetic-effects/4-4-3-the-a-c-generator
www.savemyexams.com,igcse,physics,cie,23,revision-notes,5-nuclear-physics/5-1-the-nuclear-model-of-the-atom/5-1-2-the-nucleus
www.savemyexams.com,igcse,physics,cie,23,revision-notes,5-nuclear-physics/5-2-radioactivity/5-2-6-uses-of-radiation
www.savemyexams.com,igcse,physics,cie,23,revision-notes,6-space-physics/6-2-stars--the-universe/6-2-4-life-cycle-of-a-star
www.savemyexams.com,igcse,physics,cie,23,revision-notes,6-space-physics/6-2-stars--the-universe/6-2-2-the-scale-of-the-universe
www.savemyexams.com,igcse,physics,cie,23,topic-questions,1-motion-forces--energy/1-3-mass-weight--density/multiple-choice-questions
www.savemyexams.com,igcse,physics,cie,23,topic-questions,2-thermal-physics/2-2-thermal-properties--temperature/multiple-choice-questions
www.savemyexams.com,igcse,physics,cie,23,topic-questions,4-electricity--magnetism/4-3-electric-circuits--electrical-safety/multiple-choice-questions
www.savemyexams.com,igcse,physics,cie,23,topic-questions,1-motion-forces--energy/1-2-motion/theory-questions
www.savemyexams.com,igcse,physics,cie,23,topic-questions,1-motion-forces--energy/1-6-momentum/theory-questions
